Datum;Etagen
19.07.19 16:23;2.0
20.07.19 07:35;2.0
20.07.19 14:55;2.0
21.07.19 17:04;2.0
30.07.19 07:26;1.0
30.07.19 17:09;2.0
01.08.19 07:16;1.0
01.08.19 08:44;4.0
01.08.19 11:18;1.0
01.08.19 14:11;1.0
01.08.19 17:20;2.0
01.08.19 17:35;2.0
03.08.19 18:36;2.0
03.08.19 20:19;2.0
03.08.19 20:41;2.0
05.08.19 08:39;1.0
05.08.19 12:20;1.0
07.08.19 07:56;4.0
07.08.19 08:09;1.0
07.08.19 12:42;1.0
07.08.19 15:45;3.0
07.08.19 15:56;1.0
07.08.19 16:11;2.0
12.08.19 12:36;1.0
12.08.19 13:15;1.0
12.08.19 13:37;1.0
13.08.19 13:36;1.0
16.08.19 14:07;1.0
17.08.19 14:12;1.0
17.08.19 15:34;1.0
22.08.19 10:18;1.0
26.08.19 06:52;1.0
26.08.19 10:33;1.0
26.08.19 16:42;2.0
27.08.19 08:48;1.0
27.08.19 16:06;1.0
28.08.19 10:21;1.0
28.08.19 19:06;2.0
29.08.19 14:51;2.0
29.08.19 18:27;2.0
29.08.19 19:00;2.0
30.08.19 10:23;1.0
30.08.19 16:56;2.0
30.08.19 23:44;2.0
03.09.19 06:27;2.0
03.09.19 06:27;9.0
03.09.19 08:43;1.0
03.09.19 10:08;1.0
03.09.19 15:17;2.0
04.09.19 05:47;4.0
04.09.19 07:13;1.0
04.09.19 07:20;5.0
04.09.19 07:34;2.0
04.09.19 11:32;1.0
04.09.19 17:09;2.0
05.09.19 05:58;3.0
05.09.19 06:14;5.0
05.09.19 06:46;1.0
05.09.19 15:30;2.0
08.09.19 15:01;2.0
09.09.19 12:07;1.0
09.09.19 12:12;2.0
11.09.19 06:09;2.0
11.09.19 16:07;2.0
13.09.19 15:52;2.0
16.09.19 14:20;2.0
16.09.19 16:05;2.0
17.09.19 11:26;4.0
22.09.19 13:18;1.0
25.09.19 07:41;1.0
25.09.19 07:46;1.0
25.09.19 07:59;8.0
25.09.19 11:41;1.0
25.09.19 15:53;2.0
26.09.19 05:40;1.0
26.09.19 06:22;2.0
26.09.19 11:09;1.0
26.09.19 15:47;6.0
26.09.19 15:53;2.0
01.10.19 05:45;4.0
01.10.19 06:03;2.0
01.10.19 06:19;2.0
01.10.19 10:27;1.0
01.10.19 15:53;5.0
02.10.19 06:59;6.0
02.10.19 13:37;1.0
02.10.19 13:38;1.0
02.10.19 13:53;2.0
02.10.19 13:56;2.0
03.10.19 05:47;5.0
03.10.19 06:03;1.0
03.10.19 09:05;1.0
03.10.19 14:32;1.0
03.10.19 15:16;5.0
03.10.19 15:23;3.0
05.10.19 14:26;8.0
05.10.19 17:33;2.0
10.10.19 12:13;3.0
10.10.19 12:32;1.0
10.10.19 12:39;1.0
14.10.19 07:00;1.0
14.10.19 07:08;3.0
14.10.19 07:23;4.0
17.10.19 05:50;1.0
17.10.19 06:02;1.0
17.10.19 06:07;4.0
17.10.19 06:23;1.0
17.10.19 06:26;1.0
18.10.19 05:56;3.0
18.10.19 06:19;2.0
21.10.19 07:23;4.0
21.10.19 07:41;1.0
21.10.19 07:41;3.0
21.10.19 15:24;7.0
22.10.19 05:55;4.0
22.10.19 09:30;1.0
22.10.19 16:51;1.0
22.10.19 16:56;2.0
23.10.19 05:56;3.0
23.10.19 06:14;4.0
23.10.19 06:28;2.0
23.10.19 06:38;1.0
23.10.19 14:45;1.0
23.10.19 15:20;2.0
24.10.19 05:56;3.0
24.10.19 06:15;2.0
24.10.19 06:34;1.0
24.10.19 09:27;1.0
24.10.19 09:35;1.0
24.10.19 14:46;1.0
24.10.19 18:49;1.0
27.10.19 14:50;1.0
29.10.19 10:17;1.0
29.10.19 10:38;2.0
29.10.19 10:44;3.0
29.10.19 15:50;1.0
29.10.19 16:26;6.0
29.10.19 16:43;2.0
29.10.19 16:55;2.0
04.11.19 07:22;7.0
04.11.19 07:23;2.0
04.11.19 08:40;1.0
04.11.19 14:28;1.0
04.11.19 14:53;2.0
04.11.19 16:57;2.0
05.11.19 06:59;1.0
05.11.19 07:04;3.0
05.11.19 07:19;2.0
05.11.19 07:23;1.0
05.11.19 13:54;1.0
05.11.19 17:33;2.0
06.11.19 06:54;3.0
06.11.19 10:25;1.0
06.11.19 10:33;5.0
07.11.19 00:00;2.0
07.11.19 08:39;2.0
07.11.19 08:44;1.0
07.11.19 15:08;1.0
07.11.19 15:40;1.0
07.11.19 15:49;2.0
07.11.19 17:33;2.0
08.11.19 06:44;3.0
08.11.19 07:13;2.0
10.11.19 13:35;1.0
10.11.19 14:11;1.0
10.11.19 16:11;1.0
11.11.19 08:26;1.0
11.11.19 12:13;1.0
11.11.19 15:06;1.0
11.11.19 15:14;2.0
12.11.19 07:18;1.0
12.11.19 08:43;1.0
12.11.19 09:02;1.0
12.11.19 17:24;2.0
12.11.19 22:48;2.0
13.11.19 10:13;3.0
13.11.19 14:00;2.0
13.11.19 15:50;1.0
13.11.19 15:58;2.0
14.11.19 10:43;1.0
14.11.19 10:44;1.0
14.11.19 10:46;2.0
14.11.19 18:34;2.0
17.11.19 11:06;2.0
18.11.19 11:53;1.0
18.11.19 12:13;2.0
18.11.19 12:16;2.0
18.11.19 16:31;2.0
19.11.19 07:29;2.0
19.11.19 07:36;1.0
19.11.19 14:21;1.0
19.11.19 20:14;2.0
20.11.19 06:43;4.0
20.11.19 06:56;1.0
20.11.19 07:04;2.0
20.11.19 09:31;1.0
20.11.19 09:47;1.0
20.11.19 11:18;1.0
20.11.19 12:06;2.0
20.11.19 12:15;1.0
21.11.19 07:11;3.0
21.11.19 07:25;2.0
21.11.19 07:26;5.0
21.11.19 07:30;1.0
21.11.19 10:10;1.0
21.11.19 12:38;1.0
21.11.19 18:29;2.0
21.11.19 18:33;1.0
22.11.19 06:29;1.0
22.11.19 06:47;4.0
22.11.19 06:58;3.0
22.11.19 07:24;2.0
25.11.19 06:46;1.0
25.11.19 06:56;3.0
25.11.19 07:07;1.0
25.11.19 07:12;5.0
25.11.19 07:29;1.0
25.11.19 07:34;1.0
25.11.19 12:08;1.0
26.11.19 06:55;2.0
26.11.19 08:22;3.0
26.11.19 08:43;1.0
26.11.19 10:33;1.0
26.11.19 17:21;1.0
26.11.19 17:30;2.0
27.11.19 06:48;2.0
27.11.19 06:56;1.0
27.11.19 07:32;2.0
27.11.19 07:37;1.0
27.11.19 11:38;1.0
27.11.19 17:55;2.0
28.11.19 07:00;2.0
28.11.19 07:14;4.0
28.11.19 07:20;2.0
28.11.19 10:37;6.0
28.11.19 10:58;1.0
29.11.19 06:58;3.0
29.11.19 07:14;3.0
29.11.19 07:28;2.0
29.11.19 09:04;1.0
29.11.19 19:30;2.0
30.11.19 13:16;3.0
06.12.19 08:11;2.0
06.12.19 08:15;1.0
06.12.19 08:16;5.0
06.12.19 11:54;1.0
06.12.19 15:30;2.0
10.12.19 06:44;4.0
10.12.19 06:51;1.0
10.12.19 07:32;1.0
10.12.19 07:53;5.0
10.12.19 11:15;1.0
10.12.19 11:38;1.0
10.12.19 15:49;1.0
10.12.19 21:08;7.0
11.12.19 06:51;1.0
11.12.19 06:54;5.0
11.12.19 07:01;3.0
11.12.19 08:23;9.0
11.12.19 14:05;1.0
11.12.19 17:43;2.0
11.12.19 17:49;2.0
16.12.19 06:58;2.0
16.12.19 07:13;1.0
16.12.19 07:29;2.0
16.12.19 09:48;2.0
16.12.19 13:01;1.0
16.12.19 15:16;1.0
